street,candidate,link_count,full,first,last,alias,occ1,occ2,occ3,occ4,occ5,occ6,occ7,occ8,occ9,occ10,occ11,occ12,occ13,occ14,occ15,occ16,occ17,occ18,occ19,occ20,rel_born,rel_died,rel_buried,rel_edu,rel_work,district,proba
Otto-Hahn-Straße,Q57065,511,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,Q2596714,1.0
Gottfried-Keller-Straße,Q122370,744,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,Q177893,1.0
Emil-Nolde-Weg,Q152788,626,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,Q2259877,1.0
Immanuel-Kant-Straße,Q9312,2995,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q870633,1.0
Willy-Brandt-Platz,Q2514,1938,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.0,0.5,Q2838,1.0
Martin-Luther-Straße,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q225774,1.0
Martin-Luther-Straße,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q16107,1.0
Lise-Meitner-Straße,Q56189,311,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q2880,1.0
Martin-Luther-Straße,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,Q2880,1.0
Dieselstraße,Q12674,192,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,0.0,0.0,0.2,0.0,Q3050,1.0
Robert-Koch-Straße,Q37193,488,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.2,0.2,0.0,0.2,0.0,Q486577,1.0
Fridtjof-Nansen-Ring,Q72292,347,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q6992,1.0
Eichendorffstraße,Q77204,747,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.2,Q181504,1.0
Paul-Ehrlich-Straße,Q57089,303,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,Q1567171,1.0
Von-Siebold-Straße,Q55846664,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,Q200105,1.0
Lenaustraße,Q84280,338,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q1681572,1.0
Rudolf-Virchow-Straße,Q76432,699,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.2,0.2,0.2,0.2,Q6823,1.0
Rosa-Luxemburg-Straße,Q7231,961,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0.0,0.2,Q2326752,1.0
Karl-Liebknecht-Straße,Q75886,770,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q2326752,1.0
Lise-Meitner-Straße,Q56189,311,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Q1485554,1.0
Martin-Luther-Platz,Q9554,6883,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,Q4083,1.0
Goetheweg,Q5879,8538,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.2,0.0,Q11064,1.0
Robert-Bosch-Straße,Q71032,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.2,0.2,0.2,0.0,0.2,Q7025,1.0
Goethestraße,Q5879,8538,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.2,0.0,Q14884,1.0
Carl-von-Ossietzky-Straße,Q76358,351,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.0,0.0,Q3902,1.0
