osm_id	name	street_type	wikipedia	wikidata	etymology_wikidata	etymology_wikipedia	etymology_description	local_name	geometry	name_de	name_en	name_fr	name_es	name_ru
27666777	Am Rosenbusch	unclassified							LINESTRING(8.5903911 53.1888726,8.5907505 53.1891985,8.591183 53.1898111)					
27666829	Holthorster Weg	unclassified							LINESTRING(8.6743561 53.182609,8.6745929 53.181987,8.6747043 53.1817202,8.6747108 53.1816459,8.6746376 53.1811117,8.6745703 53.1806847,8.6745313 53.1804844,8.6744842 53.180001,8.6745226 53.1796147,8.6745688 53.1794094,8.6746231 53.1792474,8.6747612 53.1789636,8.6747829 53.178919,8.6748778 53.1787587,8.6751548 53.1776849,8.6753376 53.1768647)					
27675584	Gelsenkirchener Straße	unclassified							LINESTRING(8.772727 53.0604815,8.7724205 53.0608763)					
27680125	Klarapfelweg	track							LINESTRING(8.7805914 53.1314418,8.7805578 53.1313532,8.7794466 53.1286052,8.7794053 53.128561,8.7793608 53.1285134)					
27681145	Friedrich-Meier-Weg	track							LINESTRING(8.9338993 53.092616,8.9340463 53.0926989,8.9344549 53.0929652,8.9349532 53.0932918,8.9356227 53.0937763,8.9362063 53.0942041,8.9362922 53.0943072,8.9366956 53.0944463,8.9368243 53.0945803,8.9370389 53.0946834,8.9372363 53.0947865,8.9375281 53.0950288,8.9378371 53.095271,8.9382834 53.0955442,8.9386267 53.0957864,8.9391846 53.0961369,8.9394851 53.0963533,8.9398733 53.0965715,8.9399441 53.0966113,8.940587 53.0970479,8.9412428 53.0974741,8.9414154 53.09759,8.9418399 53.0978704)					
27681266	Friedrich-Meier-Weg	track							LINESTRING(8.9418399 53.0978704,8.9442438 53.0994118,8.9449508 53.0998569,8.9453298 53.1001054,8.9464373 53.100904,8.9469094 53.1012132,8.9469641 53.1012618,8.9469372 53.1013198,8.9468401 53.1014303,8.9465403 53.10178,8.9463222 53.1019598)					
27691377	Oberreihe	residential							LINESTRING(8.6904046 53.1692825,8.6903434 53.1693271,8.6901517 53.1694929,8.689784 53.1698314,8.6896121 53.170173,8.6896 53.1701931,8.6895672 53.1702479)					
27691386	Am Heidbergstift	steps							LINESTRING(8.698911 53.1706551,8.6989961 53.1706112)					
27691387	Am Heidbergstift	footway							LINESTRING(8.6989961 53.1706112,8.6990635 53.1705833)					
27691452	Hans-Mohrmann-Straße	residential							LINESTRING(8.9066327 53.116579,8.9061449 53.1168957,8.9061006 53.1169732,8.9060027 53.1170126,8.9058316 53.1171344,8.9057309 53.1172297,8.9056373 53.1173447)					
27715184	Finkenweg	track							LINESTRING(8.7910876 53.1100451,8.7918525 53.1100289,8.7925817 53.1100293)					
27715186	Elsterweg	track							LINESTRING(8.7914632 53.1108776,8.7916669 53.1108509,8.7919017 53.1108602,8.7921116 53.1108575,8.79263 53.1108594,8.7939534 53.1108661,8.7941976 53.1108648)					
27715187	Finkenweg	track							LINESTRING(8.7925817 53.1100293,8.79263 53.1108594)					
27715188	Sperberweg	track							LINESTRING(8.7940576 53.1103882,8.794028 53.1105346,8.7941587 53.1106905,8.794207 53.1107654,8.7941976 53.1108648,8.7942293 53.1109199,8.7944887 53.1118441)					
27715189	Cäcilienweg I	track							LINESTRING(8.8151277 53.1083261,8.8153713 53.1083288,8.8158575 53.1083031)					
27715190	Piepenweg	path							LINESTRING(8.8113229 53.1100251,8.8109343 53.1100607,8.8103676 53.1101709,8.8098521 53.1103005,8.8094602 53.1103954,8.8086493 53.1105314,8.8081749 53.1105793,8.8081094 53.110586)					
27730022	Storchenweg	track							LINESTRING(8.7993829 53.114664,8.7962963 53.1146276,8.7962386 53.1146269,8.7961651 53.1146323)					
27730023	Bachstelzenweg	path							LINESTRING(8.7934877 53.1149664,8.7960074 53.1150078,8.796008 53.1148331,8.7971111 53.1148498,8.7994716 53.1148647)					
27730024	Storchenweg	track							LINESTRING(8.7961651 53.1146323,8.7961212 53.1146466,8.7959095 53.1147559,8.7957768 53.1147788,8.795705 53.1147807,8.7935599 53.1147579,8.7933945 53.1147645)					
27743739	Bauerland	unclassified							LINESTRING(8.7279804 53.0584866,8.7278438 53.0591111,8.72778 53.059403,8.7277502 53.0595392,8.7277156 53.0596973,8.7276 53.0598561,8.727505 53.0599075,8.7273685 53.0599813,8.7270802 53.0600096,8.7268782 53.060002,8.7252762 53.0598622,8.725034 53.0597935)					
27744580	Scharnhorststraße	residential							LINESTRING(8.569857 53.5558203,8.5693607 53.5567953,8.5693094 53.5568961,8.5689014 53.5576978)					
27746501	Nordhauser Straße	residential							LINESTRING(8.8696051 53.078182,8.8695564 53.0781749,8.8693402 53.0781494,8.8686292 53.0780704,8.8684304 53.0780353,8.8682775 53.0779723)					
27746575	Neu-Pagentorn	path							LINESTRING(8.8676823 53.0781156,8.8675578 53.0780595,8.8658337 53.076896,8.8655123 53.076709,8.8654159 53.0766529)					
27767840	Unter den Eichen	residential							LINESTRING(8.8629196 53.0903315,8.8628934 53.0902602,8.8628882 53.0902463,8.8628822 53.0902308,8.8628492 53.0901481)					
27769784	Paradiesweg	track							LINESTRING(8.8440942 53.1011688,8.8442446 53.1010909,8.8458557 53.1009372,8.8463689 53.1008941,8.8465592 53.1008462,8.8473525 53.1007683)					
